,"If not answered by DB, do not surface in website. ",,,"If not answered by DB, do not surface in website. ",Data broker primary address,,,,,"If not answered by DB, do not surface in website. ",,,,,,"If not answered by DB, do not surface in website. ",,,,"If not answered by DB, do not surface in website. ",,,,"If not answered by DB, do not surface in website. ",,,,"If not answered by DB, do not surface in website. ",,,,"If not answered by DB, do not surface in website. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specialists Marketing Services, Inc.",,https://www.sms-inc.com,dataprivacyteam@sms-inc.com,,"250 Pehle Avenue, Suite 200",Saddle Brook,NJ,07663,USA,N/A,No,No,No,https://www.sms-inc.com/privacy-notice/,No,,,,No,,,,No,,,,No,,,,No,,,,34760,33493,0,1266,3,5,0,0,0,0,0,0,0,0,0,0,0,0,44,29,0,15,3,5,0,0,0,0,0,0,"Please note, number of requests denied are due to incomplete information provided/inability to verify consumer.  ",
"Marriott International, Inc.",,https://www.marriott.com,privacy@marriott.com,800-218-9316,7750 Wisconsin Avenue,Bethesda,MD,20814,USA,N/a,Yes,Yes,No,https://www.marriott.com/about/your-privacy-rights.mi,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marriott newly met the definition of ""data broker"" in 2024. ","Marriott collects the personal information of minors for very specific purposes, particularly for our Kids Clubs, but Marriott does not sell that information to third parties.  Marriott collects precise geolocation with consent and does not sell that information to third parties.  "
Disco Technology Inc.,,https://www.disconetwork.com/,privacy@disconetwork.com,614-905-1661,"2261 Market Street, Ste. 4742, San Francisco, CA 94114",San Francisco ,CA,94114,USA,N/A,No,No,No,https://www.disconetwork.com/privacy-policy,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"RevOptimal, LLC",,https://www.revoptimal.com/,privacy@revoptimal.com,504-230-2388,612 Andrew Higgins Dr. #2000,New Orleans,LA,70130,USA,N/A,No,No,No,https://revoptimal.com/privacy/,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Trans Union LLC,,https://www.transunion.com,usprivacy@transunion.com,708-968-0230,555 W Adams Street,Chicago,IL,60661,USA,N/A,Yes,No,No,https://www.transunion.com/consumer-privacy,Yes,"TransUnion may collect or process personal information subject to the FCRA but no FCRA-covered data is ""sold"" under the CPRA.","TransUnion may use information to update our consumer credit database. Access to Personally Identifiable Consumer Information on this database is limited to: (1) entities with a permissible purpose to receive it, as defined in the Fair Credit Reporting Act (“FCRA”); (2) entities with a permitted use under Title V of the Gramm-Leach-Bliley Act; (3) companies who resell our data as permitted under law; and (4) companies who process data on our behalf.",None,Yes,"TransUnion may collect or process nonpublic personal information subject to GLBA. No GLBA-covered data is ""sold"" under the CPRA.",TransUnion Companies offer certain products and internally use GLBA-regulated data for GLBA permitted purposes.,None,No,,,,No,,,,Yes,"TransUnion may collect or process protected health information subject to HIPAA. No HIPAA-covered data is ""sold"" under the CPRA.",TransUnion acts as a Business Associate under HIPAA at the direction of certain customers acting as Covered Entities.,None,427,427,0,0,38,45,835,835,0,0,23,43,0,0,0,0,0,0,15376,15376,0,0,1,4,13697,13697,0,0,1,4,Access requests are not differentiated between simply the right to know and also the right to know to whom personal information is sold and shared. Consumers may view the categories of third parties to whom TransUnion sells or shares information at any time by visiting the TransUnion Privacy Policy at www.transunion.com/privacy/transunion.,"For additional information about how TransUnion Companies process personal information, please visit: www.transunion.com/privacy/transunion"
Informa USA Inc.,,https://www.informa.com/,groupdpo@informa.com,,"605 3rd Avenue, 22nd Floor",New York,NY,10158,USA,N/A,Yes,Yes,No,https://privacy.informa.com/policies/en/,No,,,,No,,,,No,,,,Yes,"The data broker collects data governed by CMIA, but it does not sell this data.",N/A,N/A,Yes,"The data broker collects data governed by CMIA, but it does not sell this data.",N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"The entity is newly registered as a data broker as of 2025, therefore it does not have the necessary metrics to provide. "
Trans Union  Content Solutions LLC,,https://www.transunion.com,usprivacy@transunion.com,708-968-0230,555 W Adams St,Chicago,IL,60661,USA,N/A,No,No,No,https://www.transunion.com/consumer-privacy,No,,,,No,,,,No,,,,No,,,,No,,,,427,427,0,0,38,45,835,835,0,0,23,43,0,0,0,0,0,0,15376,15376,0,0,1,4,13697,13697,0,0,1,4,"The numbers provided are for TransUnion Companies, including Trans Union Content Solutions. Access requests are not differentiated between simply the right to know and also the right to know to whom personal information is sold and shared. Consumers may view the categories of third parties to whom TransUnion sells or shares information at any time by visiting the TransUnion Privacy Policy at www.transunion.com/privacy/transunion.","For additional information about how TransUnion Companies process personal information, please visit: www.transunion.com/privacy/transunion"
"Sovrn, Inc.",,https://www.sovrn.com/,privacy@sovrn.com,720-541-8986,"1600 Pearl Street, St #200",Boulder,CO,80302,USA,N/A,No,No,No,https://www.sovrn.com/privacy-policy/policy-center/,No,,,,No,,,,No,,,,No,,,,No,,,,12,3,0,9,10,8,19,3,0,16,8,7,19,3,0,16,8,7,92,65,0,27,9,10,0,0,0,0,0,0,"Sovrn treats right to know requests holistically, providing what personal data Sovrn has, as well as who it was sold to or shared with back to the requestor in all valid right to know requests. ",
BrightCheck Inc. ,,https://www.brightcheck.com/,admin@brightcheck.com,,"1255 Treat Blvd, Suite 300
",Walnut Creek,CA,94597,USA,NA,No,No,No,https://www.brightcheck.com/privacy-policy,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,We are a start up and  people did not know about us in 2023. ,
Fraiser LLC ,,https://www.fraiser.org,privacy@fraiser.org,,"200 Spectrum Center Drive, Suite 300 ",Irvine ,CA,92618,USA,N/A,No,No,No,https://www.fraiser.org/california-privacy-notice/,No,,,,No,,,,No,,,,No,,,,No,,,,5255,5226,0,2,25,26,8,8,0,0,11,17,8,8,0,0,11,17,5224,5222,0,2,25,26,9,6,0,3,12,13,,
Captify Technologies,,https://www.captifytechnologies.com/,dpo@captify.co.uk,,N/A,London,UK,N/A,United Kingdom,"5 Langley Street, London, WC2H 9JA, United Kingdom",No,No,No,https://www.captifytechnologies.com/data-subject-rights-request/,No,,,,No,,,,No,,,,No,,,,No,,,,6,2,0,4,11,10,1,0,0,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Requests that were not fulfilled, were not fulfilled because further information was requested and details was given to the data subject about how to retrieve the Captify Cookie ID in order for their data to be linked/ retrieved. A link to our Privacy Notice was also shared.",
"Data Decisions Group, LLC",,https://www.datadecisionsgroup.com,privacy@datadecisionsgroup.com,888-530-8596,"123 W. Franklin Street, Suite 520, Chapel Hill, NC 27516",Chapel Hill,NC,27516,USA,N/A,No,No,No,https://www.datadecisionsgroup.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"For additional information about Data Decisions Group’s collection, use, sale 
and disclosure of personal information or to submit an Opt-Out request, 
please visit: https://datadecisionsgroup.com/privacy-policy/
","For additional information about Data Decisions Group’s collection, use, sale 
and disclosure of personal information or to submit an Opt-Out request, 
please visit: https://datadecisionsgroup.com/privacy-policy/
"
 UPS Capital Corporation,,https://www.upscapital.com/,UPSDigitalPrivacy@ups.com,,"UPS Corporate Headquarters
Attention: Global Privacy Manager
55 Glenlake Parkway NE
",Atlanta,GA,30328,USA,N/A,No,No,No,https://www.upscapital.com/privacy-notice/,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UPS Capital Corporation was not a registered data broker in 2023 but became one in January 2024.,
Deloitte Consulting LLP,,https://www.deloitte.com,usprivacyquestions@deloitte.com,,200 Berkeley Street,Boston,MA,02116,USA,n/a,No,No,No,https://www2.deloitte.com/us/en/footerlinks1/predictrisk-privacy-notice.html,No,,,,No,,,,No,,,,No,,,,No,,,,155,19,23,113,12,13,132,49,0,83,10,12,132,49,0,83,10,12,215,215,0,0,10,11,15,0,0,15,14,14,,
"Decide Technologies, Inc.",,https://www.decide.co,privacy@decide.co,800-983-5280,1314 Washington Ave.,St. Louis,MO,63103,USA,N/A,No,No,No,https://www.decide.co/privacy,No,,,,No,,,,No,,,,No,,,,No,,,,74,74,0,0,2,7.71,11,11,0,0,2,7.71,2,2,0,0,2,7.71,21,21,0,0,2,7.71,1,1,0,0,2,7.71,,
"Compact Information Systems, LLC",AccuData Integrated Marketing,https://www.deepsync.com/accudata/,privacy.compliance@deepsync.com,,"6720 108TH Ave. NE, Suite 200",Kirkland,WA,98033,USA,N/A,No,No,No,https://www.deepsync.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,72,72,72,0,1,1,419,274,274,145,5,2,419,419,274,145,5,2,1035670,1025191,1025191,10479,1,1,1035670,1025191,1025191,10479,1,1,"Deep Sync treats a request to ""limit the use and disclosure of sensitive personal information"" as an opt-out/request for deletion.",
Start.io Inc.,,https://www.start.io/,privacy@start.io,,584 Broadway St.,New York,NY,10012,USA,N/A,No,Yes,No,https://www.start.io/policy/privacy-policy-site/,No,,,,No,,,,No,,,,No,,,,No,,,,179,14,165,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,179,14,165,0,2,3,0,0,0,0,0,0,"When the Data broker receives a request to exercise any of the above user's right, then it needs that user's unique identifier - i.e. his/her Advertising ID (ADID) in order to identify that user. If the ADID is provided, then the request is fully complied. For example - only 14 out of the 179 users provided their ADID and could be deleted thereof. ",
"Compact Information Systems, LLC",ASL Marketing,https://www.deepsync.com/student-marketing-data/,privacy.compliance@deepsync.com,800-371-7080,"6720 108TH Ave. NE, Suite 200",Kirkland,WA,98033,USA,N/A,No,No,No,https://www.deepsync.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,72,72,72,0,1,1,419,274,274,145,5,2,419,274,274,145,5,2,1035670,1025191,1025191,10479,1,1,1035670,1025191,1025191,10479,1,1,"Deep Sync treats a request to ""limit the use and disclosure of sensitive personal information"" as an opt-out/ deletion.",
"Semcasting, Inc.",,https://www.semcasting.com/,privacychoice@semcasting.com,,"21 High St, Suite 304",North Andover,MA,01845,USA,,No,Yes,No,https://www.semcasting.com/privacy-choice,No,,,,No,,,,No,,,,No,,,,No,,,,191007,188707,0,2300,5,3,0,0,0,0,0,0,0,0,0,0,0,0,191007,188707,0,2300,5,3,0,0,0,0,0,0,Our deletion and opt out of sale are the same set of requests,
"Compact Information Systems, LLC",Deep Sync,https://www.deepsync.com/,privacy.compliance@deepsync.com,800-371-7080,"6720 108TH Ave. NE, Suite 200",Kirkland,WA,98033,USA,N/A,No,No,No,https://www.deepsync.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,72,72,72,0,1,1,419,274,274,145,5,2,419,274,274,145,5,2,1035670,1025191,1025191,10479,1,1,1035670,1025191,1025191,10479,1,1,"Deep Sync treats a request to ""limit the use and disclosure of sensitive personal information"" as an opt-out/deletion.",
"Compact Information Systems, LLC",HomeData,https://www.deepsync.com/homedata/,privacy.compliance@deepsync.com,800-371-7080,"6720 108TH Ave. NE, Suite 200",Redmond,WA,98033,USA,N/A,No,No,No,https://www.deepsync.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,72,72,72,0,1,1,419,274,274,145,5,2,419,274,274,145,5,2,1035670,1025191,1025191,10479,1,1,1035670,1025191,1025191,10479,1,1,"Deep Sync treats a request ""to limit the use and disclosure of sensitive personal information"" as an opt-out/deletion.",
Speedeon Data LLC,,https://www.speedeondata.com,accounting@speedeondata.com,,"5875 Landerbrook Drive, Suite 130",Cleveland,OH,44124,USA,N/A,No,No,No,https://www.speedeondata.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,237,237,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,440,440,0,0,7,7,0,0,0,0,0,0,,
American City Business Journals. Inc.,,https://www.acbj.com,legal@bizjournals.com,,120 West Morehead Street ,Charlotte,NC,28202,USA,N/A,No,No,No,https://www.acbj.com/privacy,Yes,Employment purposes,Background check for new hires,Zero,No,,,,No,,,,No,,,,No,,,,12,7,7,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,572,308,308,264,4,2,572,308,308,264,4,2,,
Clickagy LLC,,https://www.clickagy.com/,privacy@clickagy.com,866-904-9666,"330 W Columbia Way, Floor 8",Vancouver,WA,98660,USA,N/A,No,No,No,https://www.clickagy.com/privacy-center/,No,,,,No,,,,No,,,,No,,,,No,,,,6,6,0,0,1,1,2,2,0,1,44,44,2,2,0,1,44,44,4,4,0,0,1,1,0,0,0,0,0,0,,
Datanyze LLC,,https://www.datanyze.com,privacy@datanyze.com,866-904-9666,"330 W Columbia Way, Floor 8",Vancouver,WA,98660,USA,N/A,No,No,No,https://www.datanyze.com/privacy-center,No,,,,No,,,,No,,,,No,,,,No,,,,12034,12034,0,14,1,1,361,361,0,0,1,1,361,361,0,0,1,1,14420,14420,0,50,1,2,0,0,0,0,0,0,,
Hivestack Inc.,,https://www.hivestack.com,privacy@hivestack.com,,N/A,Montreal,QC,N/A,Canada,"118 Rue Saint-Pierre Montreal, QC, H2Y 2L7, Canada",No,Yes,No,https://perion.com/legal/,No,,,,No,,,,No,,,,No,,,,No,,,,48,48,0,0,2,2,17,17,0,0,2,2,0,0,0,0,0,0,50,50,0,0,2,2,0,0,0,0,0,0,,
"PulsePoint, Inc. ",PulsePoint Media,https://www.pulsepoint.com/,dataprivacy@pulsepoint.com,,"283-299 Market Street, 2 Gateway Center, 4th Floor",Newark,NJ,07102,USA,N/A,No,No,No,https://www.pulsepoint.com/legal/platform-privacy-policy,No,,,,No,,,,No,,,,No,,,,No,,,,14,14,0,0,1,1.43,2,1,0,1,10,10,0,0,0,0,0,0,29,29,0,0,1,1.76,1,1,0,0,0,0,,
"ZoomInfo Technologies, LLC",,https://www.Zoominfo.com,privacy@zoominfo.com,866-904-9666,"330 W Columbia Way, Floor 8",Vancouver,WA,98660,USA,N/A,No,No,No,https://www.zoominfo.com/trust-center/your-privacy,No,,,,No,,,,No,,,,No,,,,No,,,,12034,12034,0,14,1,1,361,361,0,0,1,1,361,361,0,0,1,1,14420,14420,0,50,1,2,0,0,0,0,0,0,,
Famous Birthdays LLC,,https://www.famousbirthdays.com,profile@famousbirthdays.com,,2800 28th Street #308,Santa Monica,CA,90405,USA,n/a,Yes,No,No,https://www.famousbirthdays.com/privacy/,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The values here are attributable to the fact that Famous Birthdays sells only a very limited class of personal information regarding a limited class of persons (celebrities), and only very marginally qualifies (if at all) as a data broker under California law.","The only personal information (as defined by the CCPA) that Famous Birthdays sells is data, generated in-house, regarding popularity trends for celebrities and influencers. This is a very limited amount of personal information concerning a limited class of persons, and as a result, Famous Birthdays rarely receives CCPA requests."
M&R Strategic Services,M+R,https://www.mrss.com,privacy@mrss.com,,"1101 17th Street NW, Suite 301
","Washington, DC",DC,20036,USA,N/A,No,No,No,https://www.mrss.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,37,37,0,0,7,7.2,14,14,0,0,7,6.9,0,0,0,0,0,0,37,37,0,0,7,7.2,0,0,0,0,0,0,"Opt-out requests have been treated the same as deletion requests, as M+R typically does not have a need to retain information of an opted-out individual.","Questions 37 - 42, 49 - 54 were not applicable to M+R. We marked as zero on the form because the field was restricted to the number. "
33 Mile Radius LLC ,EverConnect ,https://www.33mileradius.com,privacy@33mileradius.com,,"3601 Walnut St., Suite 400
",Denver,CO,80205,USA,N/A,No,Yes,No,https://www.33mileradius.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,3,3,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,138,138,0,0,12,12,0,0,0,0,0,0,,
Keyword Connects LLC,EverConnect,https://www.keywordconnects.com,privacy@keywordconnects.com,,"3601 Walnut St., Suite 400",Denver,CO,80205,USA,N/A,No,Yes,No,https://www.keywordconnects.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,107,107,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,248,248,0,0,9,9,0,0,0,0,0,0,,Refer to the privacy policy at keywordconnects.com/privacy-policy/
"Scalable Commerce, LLC","Kids Live Safe, Quick Public Records",https://www.kidslivesafe.com,privacyinfo@kidslivesafe.com,,"3905 State Street, Suite 7228 ",Santa Barbara,CA,93105,USA,NA,No,No,No,https://www.kidslivesafe.com/help-center/privacy-requests,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Our privacy policy can be viewed here... https://www.kidslivesafe.com/help-center/privacy
"Summit Resources, LLC",Client Command,https://www.clientcommand.com,legal@clientcommand.com,,"410 Peachtree Pkwy, Suite 4240",Cumming,GA,30041,USA,N/A,No,No,No,https://www.clientcommand.com/client-command-privacy-notice/,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Data Subject Access Requests (DSAR) were received by Client Command during the calendar year 2023. The first DSAR received from a California consumer was in July 2024.,"Exclusive of employee data which is never sold, the business solely collects standard personal information, and no sensitive data is sold/licensed."
KB Synergy Inc,,https://kbsynergy.com/,compliance@kbsynergy.com,,5739 Kanan Rd. #344 ,Agoura Hills,CA,91301,USA,N/A,No,No,No,https://kbsynergy.com/privacy-policy-ccpa-do-not-sell-my-information/,No,,,,No,,,,No,,,,No,,,,No,,,,305,1,4,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,300,48,0,0,20,20,0,0,0,0,0,0,"The majority of the lead requests we get in, we do not have in our system. All our leads are optin with consent and our system automatically removed all PII after 40 days.",
"Andrews Wharton, Inc.",,https://www.andrewswharton.com,privacy@andrewswharton.com,631-470-4546,"700 Veterans Memorial Highway, Suite 115
Hauppauge, NY 11788",Hauppauge,NY,11788,USA,N/A,No,Yes,Yes,https://www.andrewswharton.com/,No,,,,No,,,,No,,,,No,,,,No,,,,1733,1733,0,0,3.9,4,0,0,0,0,0,0,0,0,0,0,0,0,1733,1733,0,0,3.9,4,0,0,0,0,0,0,,"The consumer has two methods of opt-out: email, and webform. All methods may be accessed on our privacy at https://www.andrewswharton.com/. "
Complete Mailing Lists LLC,,https://www.completemailinglists.com,ewoolf@completemailinglists.com,,190 East Post Road,White Plains,NY,10601,USA,N/A,No,No,No,https://www.completemailinglists.com/do-not-sell-my-information,No,,,,No,,,,No,,,,No,,,,No,,,,75,75,75,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,75,75,75,0,35,30,0,0,0,0,0,0,,
"Windfall Data, Inc.",,https://www.windfall.com,privacy@windfall.com,,"595 Pacific Ave, Fl 4",San Francisco,CA,94133,USA,N/A,No,No,No,https://www.windfall.com/your-privacy-choices,No,,,,No,,,,No,,,,No,,,,Yes,The types of personally identifiable information that data broker may process as a Business Associate include name and address,"While data broker is not a Covered Entity under HIPPA, it does occasionally act as a Business Associate when providing data enrichment services",<5%,118,118,0,0,12,16,8,8,0,0,29,29,0,0,0,0,0,0,6,6,0,0,20,22,0,0,0,0,0,0,,
"VideoAmp, Inc. ",,https://www.videoamp.com,ccpaprivacy@videoamp.com,424-272-7774,"12121 Bluff Creek Dr., Suite 150",Los Angeles,CA,90094,USA ,N/A ,No,Yes,No,https://www.videoamp.com/us-privacy-notice/,No,,,,No,,,,No,,,,No,,,,No,,,,15,6,0,9,20,127,7,0,0,7,198,134,0,0,0,0,0,0,12,12,0,0,17,100,0,0,0,0,0,0,N/A ,N/A 
"Remodeling.com, LLC",EverConnect,https://www.remodeling.com,privacy@remodeling.com,,"3601 Walnut St., Suite 400",Denver,CO,80205,USA,N/A,No,Yes,No,https://www.remodeling.com/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,9,0,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,690,0,208,482,7,7,0,0,0,0,0,0,,Refer to the privacy policy at remodeling.com/privacy-policy/
Dataskip,,https://www.dataskip.io,support@dataskip.io,866-458-2932,"222 N Mountain Ave., #109B",Ontario,CA,91786,USA,N/A,No,No,No,https://dataskip.io/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Cadent, LLC",,https://www.cadent.tv,privacy@cadent.tv,212-796-1960,"1675 Broadway, 22nd Floor",New York,NY,10019,USA,N/A,No,Yes,No,https://www.cadent.tv/your-privacy-choices/,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,30,30,0,0,0,0,0,0,,
"Scanbuy, Inc.",,https://www.scanbuy.com/,chai.outmezguine@scanbuy.com,212-278-0178,10 East 39th Street ,New York,NY,10016,USA,N/A,No,No,No,https://www.scanbuy.com/rights/data,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scanbuy collects information generally known as non-personally identifiable information (“Non-PII”) from third parties, such as from website publishers, mobile app developers, and other providers of advertising technology (collectively, “Data Suppliers”) and services in a variety of ways, including through the use of browser cookies, pixel tags, and server-to-server connections with our partners. The type of information that we may process includes Device Identifiable Information (“DII”), Hashed Emails, Location Information, Inference Data, Demographic Data and Behavioral Data. We may use the data collected for advertising, analytics, ad reporting purposes or to improve our services. We may share and allow third-party partners to share Non-PII with other third parties that perform targeted advertising activities across other apps and websites. You have the right to opt-out of our sharing your information with third parties for targeted advertising purposes by using the “Do Not Sell My Personal Information” link available in our Privacy Policy by navigating to http://scanbuy.com/services-privacy-policy. If you opt-out, you will no longer be included in the targeted advertising activities conducted by Scanbuy and/or other third-party partners. However, you will continue to receive future online ads and content which may not be personalized or relevant to you. The choices that you make with Scanbuy are browser and device specific, instructions on how to make choices across different devices can be found in our Privacy Policy by navigating to http://scanbuy.com/services-privacy-policy. Additional information about Scanbuy’s data use can be found in our Privacy Policy by navigating to http://scanbuy.com/services-privacy-policy.",
iWave,Kindsight,https://www.kindsight.io/privacy-policy/,privacy+california@iwave.com,800-655-7729,N/A,N/A,N/A,N/A,Canada,"134 Kent St, Charlottetown, PE Canada C1A 8R8",No,No,No,https://www.kindsight.io/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,99,85,0,14,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"All requests we received were to delete their information. Once we were able to verify that the sender was legitimate, we complied with the request.","This is a difficult process now with 3rd party services popping up like Incogni, GoInvisible and Optery to name a few. The requests are fully computer automated and boderline harrasment to companies like ours. I literally receive an email from Optery every 5-7 minutes making a privacy request. Every email receives an auto response indicating that a form MUST be filled out to complete the request so we can validate the request. none of the Optery requests ever make it to the form due to computer automation. Something needs to be done to protect the data brokers from this kind of harrasment as we try to comply with the requirements of CCPA. Always open to discuss this further."
Veraset,,https://www.veraset.com,privacy@veraset.com,,"2810 N Church St
# 38188
",Wilmington,DE,19802,USA,N/A,No,Yes,No,https://www.veraset.com/ca-privacy-policy,No,,,,No,,,,No,,,,No,,,,No,,,,12,9,0,3,1,2,11,10,0,1,1,2,0,0,0,0,0,0,14,10,0,4,1,2,0,0,0,0,0,0,https://www.veraset.com/ca-privacy-policy,https://www.veraset.com/ca-privacy-policy
Jigyasa Analytics LLC,,https://www.jigyasaanalytics.com,info@jigyasaanalytics.com,,440 Millburn Avenue,Millburn,NJ,07041,USA,N/A,No,No,No,https://www.jigyasaanalytics.com/contact-us,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"We are a small firm serving only a couple of clients and did not receive any data deletion request in 2023.  We have received request for 2024 and will be reporting them by July 1, 2025 .",We do not collect any data. We buy demographic data to service the modeling and direct marketing requirements of a couple of our clients.
Growbots Inc.,,https://www.growbots.com,privacy@growbots.com,,23059 Sunset Ridge,Auburn,CA,95602,USA,N/A,No,No,No,https://www.growbots.com/do-not-sell-my-info/,No,,,,No,,,,No,,,,No,,,,No,,,,45,45,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,1,1,0,0,0,0,0,0,,
Similarweb Ltd.,,https://www.similarweb.com/,legal@similarweb.com,,33 Yitzhak Rabin Road,Givatayim,NA,5348303,Israel,"33 Yitzhak Rabin Road, Givatayim, 5348303, Israel ",No,No,No,https://www.similarweb.com/corp/legal/privacy-policy/,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Preqin Limited,,https://www.preqin.com/,dp@preqin.com,,N/A,N/A,N/A,N/A,UK,"Verde, 10 Bressenden Pl, London SW1E 5DH",No,No,No,https://www.preqin.com/policies/privacy-policy,No,,,,No,,,,No,,,,No,,,,No,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DealerDirect LLC,FordDirect,https://www.forddirect.com,dprivacy@forddirect.com,,"4 Parklane Blvd., Suite #140",Dearborn ,MI,48126,USA,N/A,No,No,No,https://www.forddirectprivacy.com,No,,,,No,,,,No,,,,No,,,,No,,,,96,17,72,7,31,50,66,61,0,5,30,65,0,0,0,0,0,0,3242,3242,0,0,1,5,0,0,0,0,0,0,"For annual statistics on the number of requests to restrict the use of sensitive personal information, FordDirect does not process these requests since we collect, use and disclose sensitive personal information only for the permissible business purposes for sensitive personal information under CCPA.",Additional information on the data collecting practices can be found at www.forddirectprivacy.com 
TransUnion Digital LLC,,https://www.transunion.com,usprivacy@transunion.com,708-968-0230,555 W Adams St.,Chicago,IL,60661,USA,N/A,No,No,No,https://www.transunion.com/consumer-privacy,No,,,,No,,,,No,,,,No,,,,No,,,,427,427,0,0,38,45,835,835,0,0,23,43,0,0,0,0,0,0,15376,15376,0,0,1,4,13697,13697,0,0,1,4,"The numbers provided are for TransUnion Companies, including TransUnion Digital. Access requests are not differentiated between simply the right to know and also the right to know to whom personal information is sold and shared. Consumers may view the categories of third parties to whom TransUnion sells or shares information at any time by visiting the TransUnion Privacy Policy at www.transunion.com/privacy/transunion.","For additional information about how TransUnion Companies process personal information, please visit: www.transunion.com/privacy/transunion"
